season,week,picked,opponent,p,covered
2019,11,NYJ,WAS,0.5161,1
2019,12,BAL,LA,0.5161,1
2019,12,BUF,IND,0.5161,1
2019,12,CAR,NO,0.5161,1
2019,12,CHI,NYG,0.5161,0
2019,12,CIN,PIT,0.5161,0
2019,12,CLE,MIA,0.5161,1
2019,12,DAL,NE,0.3333,1
2019,12,WAS,DET,0.55,1
2019,12,GB,SF,0.55,0
2019,12,TB,HOU,0.5161,1
2019,12,JAX,TEN,0.3333,0
2019,12,NYJ,LV,0.55,1
2019,12,PHI,SEA,0.5161,0
2019,13,ARI,LA,0.5161,0
2019,13,NO,ATL,0.5161,1
2019,13,BAL,SF,0.5161,0
2019,13,BUF,DAL,0.5161,1
2019,13,WAS,CAR,0.55,1
2019,13,DET,CHI,0.5161,1
2019,13,NYJ,CIN,0.55,0
2019,13,DEN,LAC,0.5161,1
2019,13,GB,NYG,0.55,1
2019,13,HOU,NE,0.5161,1
2019,13,JAX,TB,0.5161,0
2019,13,KC,LV,0.5161,1
2019,13,MIA,PHI,0.55,1
2019,13,MIN,SEA,0.5161,0
2019,13,PIT,TEN,0.3333,1
2019,14,ARI,PIT,0.5161,0
2019,14,CAR,ATL,0.5161,0
2019,14,BAL,BUF,0.5161,1
2019,14,CHI,DAL,0.5161,1
2019,14,CLE,CIN,0.55,1
2019,14,DEN,HOU,0.5161,1
2019,14,DET,MIN,0.5161,0
2019,14,GB,WAS,0.55,0
2019,14,JAX,LAC,0.5161,0
2019,14,KC,TB,0.5161,1
2019,14,LA,SEA,0.5161,1
2019,14,LV,TEN,0.5161,0
2019,14,MIA,NYJ,0.5161,1
2019,14,NO,SF,0.55,0
2019,14,NYG,PHI,0.5161,1
2019,15,ARI,CLE,0.5168,1
2019,15,ATL,SF,0.5161,1
2019,15,BAL,NYJ,0.5161,1
2019,15,BUF,PIT,0.5161,1
2019,15,CHI,GB,0.5161,0
2019,15,CIN,NE,0.5161,0
2019,15,DAL,LA,0.55,1
2019,15,KC,DEN,0.55,1
2019,15,DET,TB,0.5161,0
2019,15,HOU,TEN,0.5161,1
2019,15,NO,IND,0.55,1
2019,15,LV,JAX,0.55,0
2019,15,LAC,MIN,0.5161,0
2019,15,NYG,MIA,0.55,1
2019,15,PHI,WAS,0.5161,1
2019,16,ARI,SEA,0.5161,1
2019,16,CAR,ATL,0.5161,0
2019,16,CLE,BAL,0.55,0
2019,16,CHI,KC,0.5161,0
2019,16,CIN,MIA,0.5161,0
2019,16,DAL,PHI,0.5161,0
2019,16,DET,DEN,0.5161,0
2019,16,GB,MIN,0.5161,1
2019,16,HOU,NYJ,0.5161,0
2019,16,JAX,IND,0.55,0
2019,16,LA,SF,0.55,1
2019,16,LAC,LV,0.5161,0
2019,16,NO,TEN,0.55,1
2019,16,NYG,WAS,0.55,1
2019,17,TB,ATL,0.5161,0
2019,17,BAL,PIT,0.5161,1
2019,17,BUF,NYJ,0.5161,0
2019,17,CHI,MIN,0.55,0
2019,17,CLE,CIN,0.55,0
2019,17,DAL,WAS,0.55,1
2019,17,LV,DEN,0.55,1
2019,17,DET,NO,0.55,1
2019,17,HOU,TEN,0.5161,0
2019,17,IND,JAX,0.55,0
2019,17,MIA,NE,0.5161,1
2019,17,NYG,PHI,0.5161,0
2019,17,SEA,SF,0.5161,0
2020,1,ARI,BAL,0.4519,1
2020,1,BUF,NYJ,0.4519,1
2020,1,CAR,LV,0.4519,0
2020,1,CHI,DET,0.6,1
2020,1,CIN,LAC,0.4519,0
2020,1,DEN,TEN,0.4519,1
2020,1,GB,LA,0.4519,1
2020,1,HOU,KC,0.4519,0
2020,1,IND,JAX,0.4519,0
2020,1,MIA,NE,0.4519,0
2020,1,MIN,SEA,0.4519,0
2020,1,NO,TB,0.4519,1
2020,1,NYG,PIT,0.4519,0
2020,1,PHI,WAS,0.4519,0
2020,2,ARI,CAR,0.4519,1
2020,2,ATL,DAL,0.4783,1
2020,2,HOU,BAL,0.4783,0
2020,2,BUF,MIA,0.4783,0
2020,2,CHI,NYG,0.4519,0
2020,2,CIN,CLE,0.7,1
2020,2,DEN,PIT,0.4519,1
2020,2,DET,GB,0.7,0
2020,2,MIN,IND,0.6483,0
2020,2,JAX,TEN,0.4519,1
2020,2,KC,LAC,0.4519,0
2020,2,LA,PHI,0.4519,1
2020,2,LV,NO,0.4519,1
2020,2,NE,SEA,0.4519,0
2020,2,NYJ,SF,0.4783,0
2020,2,WAS,TB,0.4519,0
2020,3,ARI,DET,0.4519,0
2020,3,ATL,CHI,0.4519,0
2020,3,BAL,GB,0.4519,0
2020,3,BUF,LA,0.4519,1
2020,3,CAR,LAC,0.4519,1
2020,3,CIN,PHI,0.4519,1
2020,3,CLE,WAS,0.4519,1
2020,3,DAL,SEA,0.4519,0
2020,3,DEN,TB,0.4519,0
2020,3,HOU,PIT,0.7,0
2020,3,NYJ,IND,0.6,0
2020,3,JAX,MIA,0.4519,0
2020,3,KC,NO,0.4519,1
2020,3,LV,NE,0.4519,0
2020,3,MIN,SF,0.6,1
2020,4,CAR,ARI,0.4783,1
2020,4,ATL,GB,0.4519,0
2020,4,BAL,WAS,0.4519,0
2020,4,BUF,DET,0.4,1
2020,4,CHI,IND,0.4519,0
2020,4,DEN,CIN,0.4519,1
2020,4,CLE,DAL,0.7,1
2020,4,HOU,MIN,0.4519,0
2020,4,KC,NE,0.4519,1
2020,4,LA,NYG,0.4519,0
2020,4,LAC,TB,0.4783,1
2020,4,LV,NO,0.4519,0
2020,4,MIA,SEA,0.4519,0
2020,4,PHI,SF,0.4519,1
2020,5,NYJ,ARI,0.7,0
2020,5,CAR,ATL,0.6,1
2020,5,BAL,CIN,0.4519,1
2020,5,BUF,TEN,0.4519,0
2020,5,CHI,TB,0.4783,1
2020,5,CLE,IND,0.4783,1
2020,5,NYG,DAL,0.4519,1
2020,5,HOU,JAX,0.4519,1
2020,5,LV,KC,0.4519,1
2020,5,WAS,LA,0.5498,0
2020,5,NO,LAC,0.5111,0
2020,5,SF,MIA,0.6257,0
2020,5,MIN,SEA,0.4519,1
2020,5,PHI,PIT,0.4519,0
2020,6,ARI,DAL,0.4519,1
2020,6,ATL,MIN,0.7,1
2020,6,PHI,BAL,0.4783,1
2020,6,BUF,KC,0.4519,0
2020,6,CAR,CHI,0.4519,0
2020,6,CIN,IND,0.4519,1
2020,6,CLE,PIT,0.4519,0
2020,6,NE,DEN,0.4519,0
2020,6,JAX,DET,0.4519,0
2020,6,GB,TB,0.4519,0
2020,6,HOU,TEN,0.4519,0
2020,6,SF,LA,0.6,1
2020,6,MIA,NYJ,0.4519,1
2020,6,NYG,WAS,0.4519,0
2020,7,SEA,ARI,0.4519,0
2020,7,ATL,DET,0.7,0
2020,7,BUF,NYJ,0.7,0
2020,7,CAR,NO,0.7,1
2020,7,CHI,LA,0.4519,0
2020,7,CIN,CLE,0.4519,1
2020,7,DAL,WAS,0.4519,0
2020,7,DEN,KC,0.4,0
2020,7,GB,HOU,0.4519,1
2020,7,JAX,LAC,0.4,0
2020,7,LV,TB,0.4519,0
2020,7,SF,NE,0.7,1
2020,7,NYG,PHI,0.4519,1
2020,7,PIT,TEN,0.4519,1
2020,8,ATL,CAR,0.6,1
2020,8,BAL,NE,0.4,0
2020,8,BUF,PIT,0.7,0
2020,8,CHI,NO,0.4519,1
2020,8,TEN,CIN,0.4519,0
2020,8,LV,CLE,0.4519,1
2020,8,DAL,PHI,0.6902,0
2020,8,DEN,LAC,0.4,1
2020,8,IND,DET,0.7,1
2020,8,MIN,GB,0.6725,1
2020,8,NYJ,KC,0.7,0
2020,8,LA,MIA,0.4783,0
2020,8,NYG,TB,0.4519,1
2020,8,SEA,SF,0.4519,1
2020,9,ARI,MIA,0.4,0
2020,9,DEN,ATL,0.7,0
2020,9,BAL,IND,0.4783,1
2020,9,BUF,SEA,0.6,1
2020,9,CAR,KC,0.7,1
2020,9,CHI,TEN,0.4519,0
2020,9,DAL,PIT,0.6908,1
2020,9,MIN,DET,0.7,1
2020,9,GB,SF,0.4519,1
2020,9,HOU,JAX,0.4519,0
2020,9,LV,LAC,0.4519,1
2020,9,NYJ,NE,0.7,1
2020,9,NO,TB,0.7,1
2020,9,NYG,WAS,0.4519,1
2020,10,ARI,BUF,0.4519,0
2020,10,BAL,NE,0.4519,0
2020,10,CAR,TB,0.7,0
2020,10,CHI,MIN,0.4519,0
2020,10,PIT,CIN,0.4519,1
2020,10,CLE,HOU,0.4519,0
2020,10,DEN,LV,0.4519,0
2020,10,WAS,DET,0.4519,0
2020,10,GB,JAX,0.4519,0
2020,10,IND,TEN,0.7,1
2020,10,LA,SEA,0.7,1
2020,10,LAC,MIA,0.4519,0
2020,10,SF,NO,0.4783,0
2020,10,NYG,PHI,0.4783,1
2020,11,ARI,SEA,0.4519,0
2020,11,NO,ATL,0.4783,1
2020,11,TEN,BAL,0.7,1
2020,11,CAR,DET,0.4783,1
2020,11,WAS,CIN,0.7,1
2020,11,CLE,PHI,0.4519,1
2020,11,DAL,MIN,0.7,1
2020,11,DEN,MIA,0.4519,1
2020,11,IND,GB,0.4783,1
2020,11,NE,HOU,0.4783,0
2020,11,JAX,PIT,0.6,0
2020,11,KC,LV,0.4,0
2020,11,LA,TB,0.5862,1
2020,11,NYJ,LAC,0.7,1
2020,12,NE,ARI,0.688,1
2020,12,ATL,KC,0.4519,1
2020,12,BAL,PIT,0.4519,1
2020,12,LAC,BUF,0.4519,0
2020,12,CAR,IND,0.7,1
2020,12,CHI,GB,0.4783,0
2020,12,CIN,NYG,0.4519,1
2020,12,CLE,JAX,0.4519,0
2020,12,WAS,DAL,0.4783,1
2020,12,DEN,NO,0.4519,0
2020,12,HOU,DET,0.4519,1
2020,12,LA,SF,0.4519,0
2020,12,TB,LV,0.4783,1
2020,12,NYJ,MIA,0.7,0
2020,12,TEN,MIN,0.7,1
2020,12,PHI,SEA,0.4783,1
2020,13,ARI,LA,0.4783,0
2020,13,NO,ATL,0.4783,1
2020,13,DAL,BAL,0.7,0
2020,13,BUF,SF,0.4519,1
2020,13,CHI,DET,0.4783,0
2020,13,CIN,MIA,0.4519,0
2020,13,CLE,TEN,0.4519,1
2020,13,DEN,KC,0.4783,1
2020,13,PHI,GB,0.4519,0
2020,13,IND,HOU,0.4519,1
2020,13,JAX,MIN,0.7,1
2020,13,NE,LAC,0.6,1
2020,13,LV,NYJ,0.4519,0
2020,13,NYG,SEA,0.4519,1
2020,13,WAS,PIT,0.4783,1
2020,14,ARI,CIN,0.4519,1
2020,14,ATL,LAC,0.4783,0
2020,14,BAL,CLE,0.4519,1
2020,14,BUF,PIT,0.4783,1
2020,14,CAR,DEN,0.7,0
2020,14,CHI,HOU,0.7,1
2020,14,DAL,NYG,0.6,1
2020,14,GB,DET,0.4519,0
2020,14,IND,LV,0.4519,1
2020,14,LA,NE,0.4519,1
2020,14,NO,MIA,0.4519,0
2020,14,TB,MIN,0.7,1
2020,14,NYJ,SEA,0.7,0
2020,14,PHI,TEN,0.4519,1
2020,14,SF,WAS,0.6,0
2020,15,PHI,ARI,0.4783,0
2020,15,ATL,CLE,0.4519,1
2020,15,JAX,BAL,0.7,0
2020,15,DEN,BUF,0.4783,0
2020,15,CAR,GB,0.7,1
2020,15,CHI,MIN,0.4519,1
2020,15,CIN,PIT,0.4783,1
2020,15,DAL,SF,0.4783,1
2020,15,DET,TEN,0.4519,0
2020,15,IND,HOU,0.4783,0
2020,15,NO,KC,0.4519,0
2020,15,LA,NYJ,0.4519,0
2020,15,LAC,LV,0.4519,1
2020,15,MIA,NE,0.4519,1
2020,15,TB,WAS,0.7,0
2020,16,ARI,SF,0.4519,0
2020,16,ATL,KC,0.4,1
2020,16,BAL,NYG,0.4519,1
2020,16,BUF,NE,0.4519,1
2020,16,PIT,CAR,0.7,1
2020,16,JAX,CHI,0.6,0
2020,16,CIN,HOU,0.4519,1
2020,16,CLE,NYJ,0.4519,0
2020,16,PHI,DAL,0.4783,0
2020,16,DEN,LAC,0.4519,0
2020,16,TB,DET,0.7,1
2020,16,GB,TEN,0.4519,1
2020,16,LA,SEA,0.4783,0
2020,16,LV,MIA,0.4519,1
2020,16,MIN,NO,0.4519,0
2020,17,LA,ARI,0.4519,1
2020,17,ATL,TB,0.4519,0
2020,17,CIN,BAL,0.7,0
2020,17,BUF,MIA,0.4,1
2020,17,CAR,NO,0.4519,0
2020,17,CHI,GB,0.4519,0
2020,17,CLE,PIT,0.4519,0
2020,17,NYG,DAL,0.5933,1
2020,17,LV,DEN,0.4783,0
2020,17,MIN,DET,0.4519,0
2020,17,HOU,LAC,0.4519,1
2020,17,JAX,IND,0.4783,1
2020,17,NE,NYJ,0.4519,1
2020,17,WAS,PHI,0.4783,0
2020,17,SF,TEN,0.4519,1
2021,1,ARI,TEN,0.4862,1
2021,1,MIA,ATL,0.4957,1
2021,1,CIN,BAL,0.4957,1
2021,1,BUF,PIT,0.4862,0
2021,1,NYJ,CAR,0.4957,0
2021,1,CHI,LA,0.4862,0
2021,1,CLE,KC,0.4862,1
2021,1,DAL,TB,0.4862,1
2021,1,DEN,IND,0.4862,1
2021,1,SF,DET,0.4957,0
2021,1,GB,NO,0.4862,0
2021,1,HOU,JAX,0.4862,1
2021,1,LAC,WAS,0.4957,1
2021,1,LV,MIN,0.4862,1
2021,1,NE,PHI,0.4862,0
2021,1,NYG,SEA,0.4957,0
2021,2,MIN,ARI,0.4957,1
2021,2,BAL,BUF,0.4957,1
2021,2,CAR,NO,0.4862,1
2021,2,CHI,CIN,0.4862,1
2021,2,DAL,LAC,0.4957,1
2021,2,JAX,DEN,0.4957,0
2021,2,DET,GB,0.4957,0
2021,2,HOU,TB,0.4957,1
2021,2,IND,LA,0.4957,1
2021,2,LV,PIT,0.4862,1
2021,2,NE,NYJ,0.4957,1
2021,2,NYG,WAS,0.4957,1
2021,2,PHI,SF,0.4957,0
2021,2,SEA,TEN,0.4957,0
2021,3,ARI,HOU,0.4957,1
2021,3,ATL,NE,0.4957,1
2021,3,BAL,DET,0.4957,0
2021,3,CHI,BUF,0.4957,0
2021,3,CAR,JAX,0.4957,1
2021,3,CIN,PIT,0.4957,1
2021,3,CLE,WAS,0.4862,1
2021,3,GB,DAL,0.4957,1
2021,3,NYJ,DEN,0.4957,0
2021,3,IND,TEN,0.4957,0
2021,3,KC,LAC,0.4862,0
2021,3,LA,TB,0.4957,1
2021,3,MIA,LV,0.4957,1
2021,3,MIN,SEA,0.4862,1
2021,3,NO,NYG,0.4957,1
2021,4,ARI,LA,0.4957,1
2021,4,ATL,CLE,0.4957,0
2021,4,BAL,DEN,0.4957,1
2021,4,BUF,HOU,0.4722,1
2021,4,DAL,CAR,0.4957,1
2021,4,CHI,DET,0.4957,1
2021,4,JAX,CIN,0.5238,1
2021,4,PIT,GB,0.4862,0
2021,4,IND,MIA,0.4957,1
2021,4,KC,PHI,0.4957,1
2021,4,LAC,LV,0.4722,1
2021,4,WAS,MIN,0.5238,1
2021,4,NE,TB,0.4862,1
2021,4,NYG,NO,0.4957,1
2021,4,NYJ,TEN,0.4957,1
2021,4,SEA,SF,0.5238,1
2021,5,SF,ARI,0.4957,0
2021,5,NYJ,ATL,0.5238,0
2021,5,IND,BAL,0.4957,1
2021,5,BUF,CAR,0.4862,1
2021,5,CHI,LV,0.4957,1
2021,5,NYG,DAL,0.5238,0
2021,5,DET,MIN,0.5238,1
2021,5,PIT,GB,0.4862,1
2021,5,HOU,NE,0.4862,1
2021,5,JAX,TEN,0.4957,0
2021,5,LA,SEA,0.625,1
2021,5,PHI,LAC,0.5238,1
2021,5,TB,MIA,0.4957,1
2021,5,NO,WAS,0.4957,1
2021,6,ARI,BAL,0.4722,1
2021,6,BUF,TEN,0.4862,0
2021,6,GB,CHI,0.4957,1
2021,6,CIN,DET,0.4957,1
2021,6,NE,DAL,0.4957,0
2021,6,LV,DEN,0.4957,1
2021,6,IND,HOU,0.4862,1
2021,6,JAX,MIN,0.4957,1
2021,6,KC,WAS,0.4957,1
2021,6,LA,NYG,0.625,1
2021,6,PHI,TB,0.4862,1
2021,6,SEA,PIT,0.5238,1
2021,7,HOU,ARI,0.4957,0
2021,7,ATL,MIA,0.4862,1
2021,7,CIN,BAL,0.4862,1
2021,7,CAR,NYG,0.4862,0
2021,7,CHI,TB,0.4862,0
2021,7,DEN,CLE,0.625,0
2021,7,DET,LA,0.5238,1
2021,7,WAS,GB,0.4957,0
2021,7,IND,SF,0.4862,1
2021,7,KC,TEN,0.4862,0
2021,7,LV,PHI,0.4957,1
2021,7,NE,NYJ,0.5238,1
2021,7,SEA,NO,0.4957,1
2021,8,GB,ARI,0.4722,1
2021,8,CAR,ATL,0.625,1
2021,8,SF,CHI,0.4957,1
2021,8,NYJ,CIN,0.4957,1
2021,8,PIT,CLE,0.4957,1
2021,8,DAL,MIN,0.5238,1
2021,8,JAX,DEN,0.4957,0
2021,8,DET,PHI,0.4957,0
2021,8,HOU,LA,0.4957,1
2021,8,IND,TEN,0.4862,0
2021,8,KC,NYG,0.4957,0
2021,8,NE,LAC,1.0,1
2021,8,NO,TB,0.4957,1
2021,8,WAS,SEA,0.5238,0
2021,9,ARI,SF,0.4957,1
2021,9,ATL,KC,0.5238,1
2021,9,BAL,MIN,0.625,0
2021,9,BUF,JAX,0.4957,0
2021,9,CAR,NE,0.4957,0
2021,9,LA,CHI,0.4957,0
2021,9,CLE,CIN,0.4957,1
2021,9,DEN,DAL,0.4862,1
2021,9,GB,NO,0.4722,1
2021,9,HOU,MIA,0.4957,0
2021,9,IND,NYJ,0.4862,1
2021,9,PHI,LAC,0.4957,0
2021,9,LV,NYG,0.4862,0
2021,9,TEN,PIT,0.4957,1
2021,10,CAR,ARI,0.4957,1
2021,10,ATL,DAL,0.4862,0
2021,10,BAL,MIA,0.4957,0
2021,10,BUF,NYJ,0.4957,1
2021,10,CLE,NE,0.4862,0
2021,10,PHI,DEN,0.4862,1
2021,10,DET,PIT,0.4957,1
2021,10,MIN,GB,1.0,1
2021,10,JAX,IND,0.4862,1
2021,10,LV,KC,1.0,0
2021,10,SF,LA,0.5238,1
2021,10,NO,LAC,0.625,1
2021,10,WAS,TB,0.5238,1
2021,11,ARI,KC,0.4957,1
2021,11,ATL,NE,0.4862,0
2021,11,CHI,BAL,0.4862,1
2021,11,IND,BUF,0.5238,1
2021,11,WAS,CAR,0.9882,1
2021,11,LV,CIN,0.4957,0
2021,11,CLE,DET,0.4957,0
2021,11,DAL,PHI,0.4957,0
2021,11,MIN,GB,0.625,1
2021,11,HOU,TEN,0.4862,1
2021,11,JAX,SF,0.4862,0
2021,11,LAC,PIT,0.4957,0
2021,11,MIA,NYJ,0.4722,1
2021,11,TB,NYG,0.4957,1
2021,12,ATL,JAX,0.4957,1
2021,12,CLE,BAL,0.4957,0
2021,12,NO,BUF,0.4957,0
2021,12,CAR,MIA,0.4957,0
2021,12,MIN,CIN,1.0,0
2021,12,DAL,LV,0.4862,0
2021,12,LAC,DEN,0.5238,0
2021,12,LA,GB,0.4957,0
2021,12,HOU,NYJ,0.4957,0
2021,12,TB,IND,0.4957,1
2021,12,TEN,NE,0.4862,0
2021,12,NYG,PHI,0.4957,1
2021,12,PIT,SF,0.4862,0
2021,12,WAS,SEA,0.4957,1
2021,13,ARI,CHI,0.4862,1
2021,13,ATL,TB,0.4862,0
2021,13,BAL,PIT,0.4862,0
2021,13,NE,BUF,0.4862,1
2021,13,CIN,LAC,0.4957,0
2021,13,NO,DAL,0.4957,0
2021,13,DEN,KC,0.4957,0
2021,13,MIN,DET,0.4911,0
2021,13,IND,HOU,0.4957,1
2021,13,JAX,LA,0.625,0
2021,13,LV,WAS,0.4957,0
2021,13,NYG,MIA,0.4957,0
2021,13,NYJ,PHI,0.5238,0
2021,13,SEA,SF,0.4862,1
2021,14,ARI,BAL,0.4862,0
2021,14,ATL,CAR,0.4957,1
2021,14,BUF,MIN,0.4722,0
2021,14,CHI,GB,0.5238,0
2021,14,CIN,SF,0.4862,0
2021,14,LA,CLE,0.4957,1
2021,14,DAL,WAS,0.4957,1
2021,14,DET,DEN,0.4957,0
2021,14,HOU,SEA,0.4862,0
2021,14,JAX,TEN,0.5238,0
2021,14,LV,KC,0.4957,0
2021,14,NYG,LAC,0.5238,0
2021,14,NO,NYJ,0.4957,1
2021,14,PIT,TB,0.4957,0
2021,15,DET,ARI,0.4957,1
2021,15,SF,ATL,0.4957,1
2021,15,BAL,GB,0.4862,1
2021,15,CAR,BUF,0.4862,0
2021,15,MIN,CHI,0.5238,1
2021,15,CIN,DEN,0.625,1
2021,15,CLE,KC,0.5238,1
2021,15,DAL,NYG,0.4957,1
2021,15,HOU,JAX,0.4957,1
2021,15,IND,NE,0.4957,1
2021,15,LA,SEA,0.4862,1
2021,15,NYJ,MIA,0.625,1
2021,15,NO,TB,0.4957,1
2021,15,TEN,PIT,0.4862,0
2021,16,ARI,IND,0.4957,0
2021,16,BUF,NE,0.4722,1
2021,16,TB,CAR,0.4941,1
2021,16,CHI,SEA,0.4862,1
2021,16,CIN,CLE,0.4957,1
2021,16,PIT,DAL,0.4957,0
2021,16,LV,DEN,0.4957,1
2021,16,DET,GB,0.4957,1
2021,16,LAC,HOU,0.625,0
2021,16,JAX,NYJ,0.625,0
2021,16,KC,WAS,0.4862,1
2021,16,LA,MIN,0.4957,1
2021,16,NO,MIA,0.4862,0
2021,16,NYG,PHI,0.4957,0
2021,16,SF,TEN,0.4862,0
2021,17,ARI,DAL,0.625,1
2021,17,BAL,LA,0.5238,1
2021,17,CAR,CHI,0.4957,0
2021,17,KC,CIN,0.4862,0
2021,17,CLE,PIT,0.4862,0
2021,17,DEN,LAC,0.4957,0
2021,17,MIN,GB,0.4862,0
2021,17,HOU,SF,0.5238,0
2021,17,JAX,NE,0.4957,0
2021,17,LV,SEA,0.5238,1
2021,17,TEN,MIA,0.4957,1
2021,17,NO,NYG,0.4862,1
2021,17,TB,NYJ,0.625,0
2021,17,WAS,PHI,0.4957,1
2021,18,ARI,SEA,0.4957,0
2021,18,ATL,NO,0.4862,0
